Orth	Phon
ሀ	hə
ሁ	hu
ሂ	hi
ሃ	ha
ሄ	hē
ህ	h
ሆ	ho
ለ	lə
ሉ	lu
ሊ	li
ላ	la
ሌ	lē
ል	l
ሎ	lo
ሏ	lʷa
ሐ	hə
ሑ	hu
ሒ	hi
ሓ	ha
ሔ	hē
ሕ	h
ሖ	ho
ሗ	hʷa
መ	mə
ሙ	mu
ሚ	mi
ማ	ma
ሜ	mē
ም	m
ሞ	mo
ሟ	mʷa
ሠ	sə
ሡ	su
ሢ	si
ሣ	sa
ሤ	sē
ሥ	s
ሦ	so
ሧ	sʷa
ረ	rə
ሩ	ru
ሪ	ri
ራ	ra
ሬ	rē
ር	r
ሮ	ro
ሯ	rʷa
ሰ	sə
ሱ	su
ሲ	si
ሳ	sa
ሴ	sē
ስ	s
ሶ	so
ሷ	sʷa
ሸ	ʃə
ሹ	ʃu
ሺ	ʃi
ሻ	ʃa
ሼ	ʃē
ሽ	ʃ
ሾ	ʃo
ሿ	ʃʷa
ቀ	kʼə
ቁ	kʼu
ቂ	kʼi
ቃ	kʼa
ቄ	kʼē
ቅ	kʼ
ቆ	kʼo
ቈ	kʼʷə
ቊ	kʼʷi
ቋ	kʼʷa
ቌ	kʼʷē
ቍ	kʼʷə
በ	bə
ቡ	bu
ቢ	bi
ባ	ba
ቤ	bē
ብ	b
ቦ	bo
ቧ	bʷa
ቨ	βə
ቩ	βu
ቪ	βi
ቫ	βa
ቬ	βē
ቭ	β
ቮ	βo
ቯ	βʷa
ተ	tə
ቱ	tu
ቲ	ti
ታ	ta
ቴ	tē
ት	t
ቶ	to
ቷ	tʷa
ቸ	tʃə
ቹ	tʃu
ቺ	tʃi
ቻ	tʃa
ቼ	tʃē
ች	tʃ
ቾ	tʃo
ቿ	tʃʷa
ኀ	hə
ኁ	hu
ኂ	hi
ኃ	ha
ኄ	hē
ኅ	h
ኆ	ho
ኈ	hʷə
ኊ	hʷi
ኋ	hʷa
ኌ	hʷē
ኍ	hʷə
ነ	nə
ኑ	nu
ኒ	ni
ና	na
ኔ	nē
ን	n
ኖ	no
ኗ	nʷa
ኘ	ɲə
ኙ	ɲu
ኚ	ɲi
ኛ	ɲa
ኜ	ɲē
ኝ	ɲ
ኞ	ɲo
ኟ	ɲʷa
አ	ʔə
ኡ	ʔu
ኢ	ʔi
ኣ	ʔa
ኤ	ʔē
እ	ʔ
ኦ	ʔo
ኧ	ʔʷa
ከ	kə
ኩ	ku
ኪ	ki
ካ	ka
ኬ	kē
ክ	k
ኮ	ko
ኰ	kʷə
ኲ	kʷi
ኳ	kʷa
ኴ	kʷē
ኵ	kʷə
ኸ	hə
ኹ	hu
ኺ	hi
ኻ	ha
ኼ	hē
ኽ	h
ኾ	ho
ዀ	hʷə
ዂ	hʷi
ዃ	hʷa
ዄ	hʷē
ዅ	hʷə
ወ	wə
ዉ	wu
ዊ	wi
ዋ	wa
ዌ	wē
ው	w
ዎ	wo
ዐ	ʔə
ዑ	ʔu
ዒ	ʔi
ዓ	ʔa
ዔ	ʔē
ዕ	ʔ
ዖ	ʔo
ዘ	zə
ዙ	zu
ዚ	zi
ዛ	za
ዜ	zē
ዝ	z
ዞ	zo
ዟ	zʷa
ዠ	ʒə
ዡ	ʒu
ዢ	ʒi
ዣ	ʒa
ዤ	ʒē
ዥ	ʒ
ዦ	ʒo
ዧ	ʒʷa
የ	jə
ዩ	ju
ዪ	ji
ያ	ja
ዬ	jē
ይ	j
ዮ	jo
ደ	də
ዱ	du
ዲ	di
ዳ	da
ዴ	dē
ድ	d
ዶ	do
ዷ	dʷa
ጀ	dʒə
ጁ	dʒu
ጂ	dʒi
ጃ	dʒa
ጄ	dʒē
ጅ	dʒ
ጆ	dʒo
ጇ	dʒʷa
ገ	ɡə
ጉ	ɡu
ጊ	ɡi
ጋ	ɡa
ጌ	ɡē
ግ	ɡ
ጎ	ɡo
ጐ	ɡʷə
ጒ	ɡʷi
ጓ	ɡʷa
ጔ	ɡʷē
ጕ	ɡʷə
ጠ	tʼə
ጡ	tʼu
ጢ	tʼi
ጣ	tʼa
ጤ	tʼē
ጥ	tʼ
ጦ	tʼo
ጧ	tʼʷa
ጨ	tʃʼə
ጩ	tʃʼu
ጪ	tʃʼi
ጫ	tʃʼa
ጬ	tʃʼē
ጭ	tʃʼ
ጮ	tʃʼo
ጯ	tʃʼʷa
ጰ	pʼə
ጱ	pʼu
ጲ	pʼi
ጳ	pʼa
ጴ	pʼē
ጵ	pʼ
ጶ	pʼo
ጷ	pʼʷa
ጸ	tsʼə
ጹ	tsʼu
ጺ	tsʼi
ጻ	tsʼa
ጼ	tsʼē
ጽ	tsʼ
ጾ	tsʼo
ጿ	tsʼʷa
ፀ	tsʼə
ፁ	tsʼu
ፂ	tsʼi
ፃ	tsʼa
ፄ	tsʼē
ፅ	tsʼ
ፆ	tsʼo
ፈ	fə
ፉ	fu
ፊ	fi
ፋ	fa
ፌ	fē
ፍ	f
ፎ	fo
ፏ	fʷa
ፐ	pə
ፑ	pu
ፒ	pi
ፓ	pa
ፔ	pē
ፕ	p
ፖ	po
ፗ	pʷa
