Orth	Phon
a	a
e	ɛ
i	i
o	ɔ
u	u
b	ɓ
p	p
ph	pʰ
mb	ᵐb
mph	ᵐpʰ
m	m
ŵa	β
bw	ɓʷ
pw	pʷ
phw	pʷʰ
mbw	ᵐbʷ
mphw	ᵐpʷʰ
mw	mʷ
w	w
bz	bʒʲ
py	pʲ
ps	pʃʲ
mbz	ᵐbzʲ
mps	ᵐpsʲ
my	mʲ
d	ɗ
t	t
th	tʰ
nd	ⁿd
nth	ⁿtʰ
n	n
l	ɽ
r	ɽ
dw	ɗʷ
tw	tʷ
thw	tʷʰ
ndw	ⁿdʷ
nthw	ⁿtʷʰ
lw	ɽʷ
rw	ɽʷ
dy	ɗʲ
ty	tʲ
thy	tʲʰ
ndy	ⁿdʲ
nthy	ⁿtʲʰ
ny	nʲ
g	g
k	k
kh	kʰ
ng	ᵑg
nkh	ᵑkʰ
ng'	ŋ
gw	gʷ
kw	kʷ
khw	kʷʰ
ngw	ᵑgʷ
nkhw	ᵑkʷʰ
ng'w	ŋʷ
j	d͡ʒ
ch	t͡ʃ
tch	t͡ʃʰ
nj	ⁿd͡ʒ
ntch	ⁿt͡ʃʰ
y	j
v	v
f	f
mv	ᶬv
mf	ᶬf
vw	vʷ
fw	fʷ
vya	vʲ
fya	fʲ
z	z
s	s
nz	ⁿz
ns	ⁿs
zw	zʷ
sw	sʷ
nzw	ⁿzʷ
nsw	ⁿsʷ
zya	zʲ~ʒ
sh	ʃ
dz	d͡z
ts	t͡s
ndza	ⁿd͡z
dzwe	d͡zʷ
tsw	t͡sʷ
ha	h
